"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2018",0.325,
"AUT","INCOMEINEQ","GINI","INEQ","A","2018",0.28,
"BEL","INCOMEINEQ","GINI","INEQ","A","2018",0.258,
"CAN","INCOMEINEQ","GINI","INEQ","A","2018",0.303,
"CZE","INCOMEINEQ","GINI","INEQ","A","2018",0.249,
"DNK","INCOMEINEQ","GINI","INEQ","A","2018",0.263,
"FIN","INCOMEINEQ","GINI","INEQ","A","2018",0.269,
"FRA","INCOMEINEQ","GINI","INEQ","A","2018",0.301,
"DEU","INCOMEINEQ","GINI","INEQ","A","2018",0.289,
"GRC","INCOMEINEQ","GINI","INEQ","A","2018",0.306,
"HUN","INCOMEINEQ","GINI","INEQ","A","2018",0.28,
"IRL","INCOMEINEQ","GINI","INEQ","A","2018",0.292,
"ITA","INCOMEINEQ","GINI","INEQ","A","2018",0.33,
"JPN","INCOMEINEQ","GINI","INEQ","A","2018",0.334,
"KOR","INCOMEINEQ","GINI","INEQ","A","2018",0.345,
"LUX","INCOMEINEQ","GINI","INEQ","A","2018",0.318,
"MEX","INCOMEINEQ","GINI","INEQ","A","2018",0.418,
"NLD","INCOMEINEQ","GINI","INEQ","A","2018",0.295,
"NOR","INCOMEINEQ","GINI","INEQ","A","2018",0.262,
"POL","INCOMEINEQ","GINI","INEQ","A","2018",0.281,
"PRT","INCOMEINEQ","GINI","INEQ","A","2018",0.317,
"SVK","INCOMEINEQ","GINI","INEQ","A","2018",0.236,
"ESP","INCOMEINEQ","GINI","INEQ","A","2018",0.33,
"SWE","INCOMEINEQ","GINI","INEQ","A","2018",0.275,
"CHE","INCOMEINEQ","GINI","INEQ","A","2018",0.311,
"TUR","INCOMEINEQ","GINI","INEQ","A","2018",0.397,
"GBR","INCOMEINEQ","GINI","INEQ","A","2018",0.366,
"USA","INCOMEINEQ","GINI","INEQ","A","2018",0.393,
"EST","INCOMEINEQ","GINI","INEQ","A","2018",0.305,
"ISR","INCOMEINEQ","GINI","INEQ","A","2018",0.348,
"SVN","INCOMEINEQ","GINI","INEQ","A","2018",0.249,
"LVA","INCOMEINEQ","GINI","INEQ","A","2018",0.351,
"LTU","INCOMEINEQ","GINI","INEQ","A","2018",0.361,
"CRI","INCOMEINEQ","GINI","INEQ","A","2018",0.479,
"BGR","INCOMEINEQ","GINI","INEQ","A","2018",0.408,
"ROU","INCOMEINEQ","GINI","INEQ","A","2018",0.35,
